ime,država,spol,disciplina,zlate,srebrne,bronaste,skupaj
BYLON Atheyna Bibeichi,Panama,F,Boxing,0,1,0,1
BIENIEK Mateusz,Poland,M,Volleyball,0,1,0,1
BOLADZ Bartlomiej,Poland,M,Volleyball,0,1,0,1
FORNAL Tomasz,Poland,M,Volleyball,0,1,0,1
HUBER Norbert,Poland,M,Volleyball,0,1,0,1
JANUSZ Marcin,Poland,M,Volleyball,0,1,0,1
KACZMAREK Lukasz,Poland,M,Volleyball,0,1,0,1
KOCHANOWSKI Jakub,Poland,M,Volleyball,0,1,0,1
KUREK Bartosz,Poland,M,Volleyball,0,1,0,1
LEON VENERO Wilfredo,Poland,M,Volleyball,0,1,0,1
LOMACZ Grzegorz,Poland,M,Volleyball,0,1,0,1
PIKULIK Daria,Poland,F,Cycling Track,0,1,0,1
SEMENIUK Kamil,Poland,M,Volleyball,0,1,0,1
SLIWKA Aleksander,Poland,M,Volleyball,0,1,0,1
SZEREMETA Julia,Poland,F,Boxing,0,1,0,1
ZATORSKI Pawel,Poland,M,Volleyball,0,1,0,1
ZWOLINSKA Klaudia,Poland,F,Canoe Slalom,0,1,0,1
PICHARDO Pedro,Portugal,M,Athletics,0,1,0,1
JO Jin Mi,DPR Korea,F,Diving,0,1,0,1
KIM Kum Yong,DPR Korea,F,Table Tennis,0,1,0,1
RI Jong Sik,DPR Korea,M,Table Tennis,0,1,0,1
CAMBEI Mihaela Valentina,Romania,F,Weightlifting,0,1,0,1
COZMIUC Ionela Livia,Romania,F,Rowing,0,1,0,1
van GRONINGEN Gianina Elena,Romania,F,Rowing,0,1,0,1
MASWANGANYI Shaun,South Africa,M,Athletics,0,1,0,1
NKOANA Bradley,South Africa,M,Athletics,0,1,0,1
SIMBINE Akani,South Africa,M,Athletics,0,1,0,1
van DYK Jo-Ane,South Africa,F,Athletics,0,1,0,1
WALAZA Bayanda,South Africa,M,Athletics,0,1,0,1
VODISEK Toni,Slovenia,M,Sailing,0,1,0,1
PERISIC Aleksandra,Serbia,F,Taekwondo,0,1,0,1
DERRON Julie,Switzerland,F,Triathlon,0,1,0,1
GUERDAT Steve,Switzerland,M,Equestrian,0,1,0,1
BOBECK Vilma,Sweden,F,Sailing,0,1,0,1
KALLBERG Anton,Sweden,M,Table Tennis,0,1,0,1
KARLSSON Kristian,Sweden,M,Table Tennis,0,1,0,1
LINDGREN Victor,Sweden,M,Shooting,0,1,0,1
NETZLER Rebecca,Sweden,F,Sailing,0,1,0,1
SILACHAI Theerapong,Thailand,M,Weightlifting,0,1,0,1
VITIDSARN Kunlavut,Thailand,M,Badminton,0,1,0,1
WICHUMA Weeraphon,Thailand,M,Weightlifting,0,1,0,1
FERJANI Fares,Tunisia,M,Fencing,0,1,0,1
AKBAS Hatice,Türkiye,F,Boxing,0,1,0,1
CAKIROGLU Buse Naz,Türkiye,F,Boxing,0,1,0,1
DIKEC Yusuf,Türkiye,M,Shooting,0,1,0,1
TARHAN Sevval Ilayda,Türkiye,F,Shooting,0,1,0,1
CHEMUTAI Peruth,Uganda,F,Athletics,0,1,0,1
KOLIADENKO Iryna,Ukraine,F,Wrestling,0,1,0,1
KOVTUN Illia,Ukraine,M,Artistic Gymnastics,0,1,0,1
KULISH Serhiy,Ukraine,M,Shooting,0,1,0,1
LUZAN Liudmyla,Ukraine,F,Canoe Sprint,0,1,0,1
NASIBOV Parviz,Ukraine,M,Wrestling,0,1,0,1
RYBACHOK Anastasiia,Ukraine,F,Canoe Sprint,0,1,0,1
ALVAREZ Anita,United States,F,Artistic Swimming,0,1,0,1
BACON Sarah,United States,F,Diving,0,1,0,1
BATTEN Haley,United States,F,Cycling Mountain Bike,0,1,0,1
BEDNAREK Kenneth,United States,M,Athletics,0,1,0,1
BENEGAS Perris,United States,F,Cycling BMX Freestyle,0,1,0,1
BLADES Kennedy Alexis,United States,F,Wrestling,0,1,0,1
CARLINI Lauren,United States,F,Volleyball,0,1,0,1
COCKRELL Anna,United States,F,Athletics,0,1,0,1
CONNOLLY Erika,United States,F,Swimming,0,1,0,1
COOK Karl,United States,M,Equestrian,0,1,0,1
COOK Kassidy,United States,F,Diving,0,1,0,1
CURRY Brooks,United States,M,Swimming,0,1,0,1
CZARKOWSKI Jaime,United States,F,Artistic Swimming,0,1,0,1
DREWS Andrea,United States,F,Volleyball,0,1,0,1
EATON Jagger,United States,M,Skateboarding,0,1,0,1
ECHIKUNWOKE Annette Nneka,United States,F,Athletics,0,1,0,1
FIELD Megumi,United States,F,Artistic Swimming,0,1,0,1
GEMMELL Erin,United States,F,Swimming,0,1,0,1
GRIMES Katie,United States,F,Swimming,0,1,0,1
HANCOCK Micha,United States,F,Volleyball,0,1,0,1
HARRISON Nevin,United States,F,Canoe Sprint,0,1,0,1
HEILMAN Thomas,United States,M,Swimming,0,1,0,1
HUNTER Keana,United States,F,Artistic Swimming,0,1,0,1
KENDRICKS Sam,United States,M,Athletics,0,1,0,1
KIBLER Drew,United States,M,Swimming,0,1,0,1
KNIBB Taylor,United States,F,Triathlon,0,1,0,1
KOVACS Joe,United States,M,Athletics,0,1,0,1
KRAJICEK Austin,United States,M,Tennis,0,1,0,1
KRAUT Laura,United States,F,Equestrian,0,1,0,1
KWON Audrey,United States,F,Artistic Swimming,0,1,0,1
LARSON Jordan,United States,F,Volleyball,0,1,0,1
LEE Spencer Richard,United States,M,Wrestling,0,1,0,1
LIU Calista,United States,F,Artistic Swimming,0,1,0,1
LUU Jacklyn,United States,F,Artistic Swimming,0,1,0,1
MADDALENA Sagen,United States,F,Shooting,0,1,0,1
McEWEN Shelby,United States,M,Athletics,0,1,0,1
MOON Katie,United States,F,Athletics,0,1,0,1
OGBOGU Chiaka,United States,F,Volleyball,0,1,0,1
PEARSON Morgan,United States,M,Triathlon,0,1,0,1
PEPLOWSKI Anna,United States,F,Swimming,0,1,0,1
PIERONI Blake,United States,M,Swimming,0,1,0,1
PLUMMER Kathryn,United States,F,Volleyball,0,1,0,1
POULTER Jordyn,United States,F,Volleyball,0,1,0,1
PRINCE Conner Lynn,United States,M,Shooting,0,1,0,1
RABOUTOU Brooke,United States,F,Sport Climbing,0,1,0,1
RAM Rajeev,United States,M,Tennis,0,1,0,1
RAMIREZ Daniella,United States,F,Artistic Swimming,0,1,0,1
REMATI Ruby,United States,F,Artistic Swimming,0,1,0,1
RETTKE Dana,United States,F,Volleyball,0,1,0,1
RIDER Seth,United States,M,Triathlon,0,1,0,1
ROBERTS Daniel,United States,M,Athletics,0,1,0,1
ROBINSON Kelsey,United States,F,Volleyball,0,1,0,1
ROOKS Kenneth,United States,M,Athletics,0,1,0,1
SCHAAR Tom,United States,M,Skateboarding,0,1,0,1
SKINNER Avery,United States,F,Volleyball,0,1,0,1
SMITH Kieran,United States,M,Swimming,0,1,0,1
SPIVEY Taylor,United States,F,Triathlon,0,1,0,1
THOMPSON Jordan,United States,F,Volleyball,0,1,0,1
WARD McLain,United States,M,Equestrian,0,1,0,1
WASHINGTON Haleigh,United States,F,Volleyball,0,1,0,1
WEINSTEIN Claire,United States,F,Swimming,0,1,0,1
WONG-ORANTES Justine,United States,F,Volleyball,0,1,0,1
DJURAEV Akbar,Uzbekistan,M,Weightlifting,0,1,0,1
OSIPOVA Svetlana,Uzbekistan,F,Taekwondo,0,1,0,1
TSIKHANTSOU Yauheni,AIN,M,Weightlifting,0,0,1,1
DUDAEV Islam,Albania,M,Wrestling,0,0,1,1
VALIEV Chermen,Albania,M,Wrestling,0,0,1,1
SEDJATI Djamel,Algeria,M,Athletics,0,0,1,1
ALBERTARRIO Agustina,Argentina,F,Hockey,0,0,1,1
ALONSO Agostina,Argentina,F,Hockey,0,0,1,1
CAIRO Sofia,Argentina,F,Hockey,0,0,1,1
CAMPOY Maria,Argentina,F,Hockey,0,0,1,1
CASAS Lara,Argentina,F,Hockey,0,0,1,1
CASTELLARO MORELLO Juana,Argentina,F,Hockey,0,0,1,1
COSENTINO Cristina,Argentina,F,Hockey,0,0,1,1
DIAZ de ARMAS Zoe,Argentina,F,Hockey,0,0,1,1
GORZELANY Agustina,Argentina,F,Hockey,0,0,1,1
GRANATTO Maria,Argentina,F,Hockey,0,0,1,1
JANKUNAS Julieta,Argentina,F,Hockey,0,0,1,1
RAPOSO RUIZ de los LLANOS Valentina,Argentina,F,Hockey,0,0,1,1
SANCHEZ MOCCIA Rocio,Argentina,F,Hockey,0,0,1,1
SAUZE VALDEZ Victoria,Argentina,F,Hockey,0,0,1,1
TOCCALINO Sofia,Argentina,F,Hockey,0,0,1,1
TRINCHINETTI Eugenia,Argentina,F,Hockey,0,0,1,1
AMOYAN Malkhas,Armenia,M,Wrestling,0,0,1,1
ATWELL Amy,Australia,F,Basketball,0,0,1,1
BORLASE Isobel,Australia,F,Basketball,0,0,1,1
COWLEY Rhydian,Australia,M,Athletics,0,0,1,1
DENNY Matthew,Australia,M,Athletics,0,0,1,1
DIEHM Natalya,Australia,F,Cycling BMX Freestyle,0,0,1,1
GEORGE Cayla,Australia,F,Basketball,0,0,1,1
GIULIANI Maximillian,Australia,M,Swimming,0,0,1,1
GREEN Tom,Australia,M,Canoe Sprint,0,0,1,1
HOFFMAN Leigh,Australia,M,Cycling Track,0,0,1,1
INCERTI Zac,Australia,M,Swimming,0,0,1,1
JACKSON Lauren,Australia,F,Basketball,0,0,1,1
MADGEN Tess,Australia,F,Basketball,0,0,1,1
MAGBEGOR Ezi,Australia,F,Basketball,0,0,1,1
McINTYRE Annabelle,Australia,F,Rowing,0,0,1,1
MELBOURNE Jade,Australia,F,Basketball,0,0,1,1
MORRISON Jess,Australia,F,Rowing,0,0,1,1
NEILL Thomas,Australia,M,Swimming,0,0,1,1
PARKER Caitlin,Australia,F,Boxing,0,0,1,1
PATTERSON Eleanor,Australia,F,Athletics,0,0,1,1
SENIOR Charlie,Australia,M,Boxing,0,0,1,1
SMITH Alanna,Australia,F,Basketball,0,0,1,1
SMITH Penny,Australia,F,Shooting,0,0,1,1
TALBOT Steph,Australia,F,Basketball,0,0,1,1
TEMPLE Matthew,Australia,M,Swimming,0,0,1,1
TOLO Marianna,Australia,F,Basketball,0,0,1,1
van der WESTHUYZEN Jean,Australia,M,Canoe Sprint,0,0,1,1
WALLACE Kristy,Australia,F,Basketball,0,0,1,1
WHITCOMB Sami,Australia,F,Basketball,0,0,1,1
YONG Joshua,Australia,M,Swimming,0,0,1,1
PILZ Jessica,Austria,F,Sport Climbing,0,0,1,1
POLLERES Michaela,Austria,F,Judo,0,0,1,1
SCHUBERT Jakob,Austria,M,Sport Climbing,0,0,1,1
JAFAROV Hasrat,Azerbaijan,M,Wrestling,0,0,1,1
MAGOMEDOV Magomedkhan,Azerbaijan,M,Wrestling,0,0,1,1
MESHVILDISHVILI Giorgi,Azerbaijan,M,Wrestling,0,0,1,1
CHAARI Sarah,Belgium,F,Taekwondo,0,0,1,1
KOPECKY Lotte,Belgium,F,Cycling Road,0,0,1,1
van AERT Wout,Belgium,M,Cycling Road,0,0,1,1
van den BOSSCHE Fabio,Belgium,M,Cycling Track,0,0,1,1
VIDTS Noor,Belgium,F,Athletics,0,0,1,1
WILLEMS Gabriella,Belgium,F,Judo,0,0,1,1
AKIO Augusto,Brazil,M,Skateboarding,0,0,1,1
ALEXANDRE COSTA NUNES Nyeme Victor.,Brazil,F,Volleyball,0,0,1,1
ARAUJO Natalia,Brazil,F,Volleyball,0,0,1,1
BARBOSA Jade,Brazil,F,Artistic Gymnastics,0,0,1,1
BERGMANN Julia Isabelle,Brazil,F,Volleyball,0,0,1,1
BRAGA GUIMARAES Gabriela,Brazil,F,Volleyball,0,0,1,1
CARGNIN Daniel,Brazil,M,Judo,0,0,1,1
da SILVA Ana Carolina,Brazil,F,Volleyball,0,0,1,1
DAHER de MENEZES Thaisa,Brazil,F,Volleyball,0,0,1,1
dos SANTOS Alison,Brazil,M,Athletics,0,0,1,1
DUARTE ALECRIM Diana,Brazil,F,Volleyball,0,0,1,1
GERALDO TEIXEIRA Lorenne,Brazil,F,Volleyball,0,0,1,1
GONCALVES Leonardo,Brazil,M,Judo,0,0,1,1
LEAL Rayssa,Brazil,F,Skateboarding,0,0,1,1
LEMES SANTOS Tainara,Brazil,F,Volleyball,0,0,1,1
MACEDO Rafael,Brazil,M,Judo,0,0,1,1
MEDINA Gabriel,Brazil,M,Surfing,0,0,1,1
MENEZES OLIVEIRA de SOUZA Ana Cris.,Brazil,F,Volleyball,0,0,1,1
MONTIBELLER Rosamaria,Brazil,F,Volleyball,0,0,1,1
OLIVEIRA Lorrane,Brazil,F,Artistic Gymnastics,0,0,1,1
PONTES Edival,Brazil,M,Taekwondo,0,0,1,1
QUADROS Ketleyn,Brazil,F,Judo,0,0,1,1
RATZKE Roberta Silva,Brazil,F,Volleyball,0,0,1,1
SARAIVA Flavia,Brazil,F,Artistic Gymnastics,0,0,1,1
SCHIMIDT Guilherme,Brazil,M,Judo,0,0,1,1
SILVA CARNEIRO Macris Fernanda,Brazil,F,Volleyball,0,0,1,1
SILVA Rafael,Brazil,M,Judo,0,0,1,1
SILVA Rafaela,Brazil,F,Judo,0,0,1,1
SOARES FERREIRA Beatriz Iasmin,Brazil,F,Boxing,0,0,1,1
SOARES Julia,Brazil,F,Artistic Gymnastics,0,0,1,1
MINASYAN Gor,Bahrain,M,Weightlifting,0,0,1,1
ANDREEV Bozhidar Dimitrov,Bulgaria,M,Weightlifting,0,0,1,1
IBANEZ DIAZ Javier,Bulgaria,M,Boxing,0,0,1,1
KIMIA Alizadeh,Bulgaria,F,Taekwondo,0,0,1,1
AUGER-ALIASSIME Felix,Canada,M,Tennis,0,0,1,1
DABROWSKI Gabriela,Canada,F,Tennis,0,0,1,1
HARVEY Eleanor,Canada,F,Fencing,0,0,1,1
MACKENZIE Sloan,Canada,F,Canoe Sprint,0,0,1,1
MASSE Kylie,Canada,F,Swimming,0,0,1,1
METHOT Sophiane,Canada,F,Trampoline Gymnastics,0,0,1,1
NEWMAN Alysha,Canada,F,Athletics,0,0,1,1
PARK Skylar,Canada,F,Taekwondo,0,0,1,1
SANFORD Wyatt,Canada,M,Boxing,0,0,1,1
WIENS Rylan,Canada,M,Diving,0,0,1,1
ZSOMBOR-MURRAY Nathan,Canada,M,Diving,0,0,1,1
671,China,F,Breaking,0,0,1,1
CHENG Yujie,China,F,Swimming,0,0,1,1
FENG Ziqi,China,F,Wrestling,0,0,1,1
GE Chutong,China,F,Swimming,0,0,1,1
HONG Kexin,China,F,Wrestling,0,0,1,1
JIANG Yiting,China,F,Shooting,0,0,1,1
KONG Yaqi,China,F,Swimming,0,0,1,1
LI Bingjie,China,F,Swimming,0,0,1,1
LIANG Yushuai,China,M,Taekwondo,0,0,1,1
LIN Xiyu Janet,China,F,Golf,0,0,1,1
LIU Yaxin,China,F,Swimming,0,0,1,1
LYU Jianlin,China,M,Shooting,0,0,1,1
MA Zhenzhao,China,F,Judo,0,0,1,1
MENG Lingzhe,China,M,Wrestling,0,0,1,1
PANG Qianyu,China,F,Wrestling,0,0,1,1
SONG Jiayuan,China,F,Athletics,0,0,1,1
TANG Muhan,China,F,Swimming,0,0,1,1
WAN Letian,China,F,Swimming,0,0,1,1
WANG Shun,China,M,Swimming,0,0,1,1
WANG Xinjie,China,M,Shooting,0,0,1,1
WANG Xueer,China,F,Swimming,0,0,1,1
YAN Langyu,China,M,Trampoline Gymnastics,0,0,1,1
ZHANG Qiongyue,China,F,Shooting,0,0,1,1
ZHAO Jie,China,F,Athletics,0,0,1,1
CISSE Cheick Sallah,Côte d'Ivoire,M,Taekwondo,0,0,1,1
RENTERIA RENTERIA Tatiana,Colombia,F,Wrestling,0,0,1,1
de PINA David,Cabo Verde,M,Boxing,0,0,1,1
ELKASEVIC Sandra,Croatia,F,Athletics,0,0,1,1
MARICIC Miran,Croatia,M,Shooting,0,0,1,1
STOJKOVIC Lena,Croatia,F,Taekwondo,0,0,1,1
ALBA Rafael,Cuba,M,Taekwondo,0,0,1,1
CIRILO DUBOYS Yarisleidis,Cuba,F,Canoe Sprint,0,0,1,1
LOPEZ CARDONA Arlen,Cuba,M,Boxing,0,0,1,1
MARIN POTRILLE Milaimy de la Carid.,Cuba,F,Wrestling,0,0,1,1
ORTA SANCHEZ Luis Alberto,Cuba,M,Wrestling,0,0,1,1
ROSILLO KINDELAN Gabriel Alejandro,Cuba,M,Wrestling,0,0,1,1
BERAN Jiri,Czechia,M,Fencing,0,0,1,1
CUPR Michal,Czechia,M,Fencing,0,0,1,1
JURKA Jakub,Czechia,M,Fencing,0,0,1,1
OGRODNIKOVA Nikola,Czechia,F,Athletics,0,0,1,1
RUBES Martin,Czechia,M,Fencing,0,0,1,1
AABERG IVERSEN Sarah,Denmark,F,Handball,0,0,1,1
BISULTANOV Turpal Ali,Denmark,M,Wrestling,0,0,1,1
ELVER Helena,Denmark,F,Handball,0,0,1,1
FRIIS Emma,Denmark,F,Handball,0,0,1,1
HANSEN Anne Mette,Denmark,F,Handball,0,0,1,1
HAUGSTED Line,Denmark,F,Handball,0,0,1,1
HEINDAHL Kathrine,Denmark,F,Handball,0,0,1,1
HOEJLUND Mie,Denmark,F,Handball,0,0,1,1
HRNIC Edi,Denmark,M,Taekwondo,0,0,1,1
IVERSEN Rikke,Denmark,F,Handball,0,0,1,1
JOERGENSEN Kristina,Denmark,F,Handball,0,0,1,1
JORGENSEN Emma Aastrand,Denmark,F,Canoe Sprint,0,0,1,1
LARSEN Niklas,Denmark,M,Cycling Track,0,0,1,1
MOELLER Michala,Denmark,F,Handball,0,0,1,1
MOERKOEV Michael,Denmark,M,Cycling Track,0,0,1,1
OESTERGAARD Trine,Denmark,F,Handball,0,0,1,1
REINHARDT Althea,Denmark,F,Handball,0,0,1,1
TOFT Sandra,Denmark,F,Handball,0,0,1,1
TRANBORG Mette,Denmark,F,Handball,0,0,1,1
VINTER BURGAARD Louise,Denmark,F,Handball,0,0,1,1
ALCANTARA REYES Yunior,Dominican Republic,M,Boxing,0,0,1,1
PINALES Cristian Javier,Dominican Republic,M,Boxing,0,0,1,1
DAJOMES BARRERA Neisi Patricia,Ecuador,F,Weightlifting,0,0,1,1
PALACIOS DAJOMES Angie Paola,Ecuador,F,Weightlifting,0,0,1,1
ELSAYED Mohamed,Egypt,M,Fencing,0,0,1,1
DJANKEU NGAMBA Cindy Winner,EOR,F,Boxing,0,0,1,1
AREVALO Carlos,Spain,M,Canoe Sprint,0,0,1,1
BUCSA Cristina,Spain,F,Tennis,0,0,1,1
CASADO Agustin,Spain,M,Handball,0,0,1,1
COOPER Marcus,Spain,M,Canoe Sprint,0,0,1,1
CORRALES Rodrigo,Spain,M,Handball,0,0,1,1
CRAVIOTTO Saul,Spain,M,Canoe Sprint,0,0,1,1
DOMINGUEZ Diego,Spain,M,Canoe Sprint,0,0,1,1
DUJSHEBAEV Alex,Spain,M,Handball,0,0,1,1
DUJSHEBAEV Daniel,Spain,M,Handball,0,0,1,1
ECHANIZ Pau,Spain,M,Canoe Slalom,0,0,1,1
FERNANDEZ Daniel,Spain,M,Handball,0,0,1,1
FERRE GASET Txell,Spain,F,Artistic Swimming,0,0,1,1
FIGUERAS Adrian,Spain,M,Handball,0,0,1,1
GARCIA POLO Marina,Spain,F,Artistic Swimming,0,0,1,1
GARCIANDIA Imanol,Spain,M,Handball,0,0,1,1
GARRIGOS Francisco,Spain,M,Judo,0,0,1,1
GERMADE Rodrigo,Spain,M,Canoe Sprint,0,0,1,1
GOMEZ Aleix,Spain,M,Handball,0,0,1,1
LLUIS VALETTE Lilou,Spain,F,Artistic Swimming,0,0,1,1
MAQUEDA Jorge,Spain,M,Handball,0,0,1,1
MAS PUJADAS Meritxell,Spain,F,Artistic Swimming,0,0,1,1
MORENO Joan Antoni,Spain,M,Canoe Sprint,0,0,1,1
ODRIOZOLA Kauldi,Spain,M,Handball,0,0,1,1
OZHOGINA OZHOGIN Alisa,Spain,F,Artistic Swimming,0,0,1,1
PEREZ de VARGAS Gonzalo,Spain,M,Handball,0,0,1,1
RAMIREZ IBANEZ Paula,Spain,F,Artistic Swimming,0,0,1,1
REYES PLA Enmanuel,Spain,M,Boxing,0,0,1,1
RODRIGUEZ Javier,Spain,M,Handball,0,0,1,1
SALDANA LOPEZ Sara,Spain,F,Artistic Swimming,0,0,1,1
SANCHEZ-MIGALLON Miguel,Spain,M,Handball,0,0,1,1
SERDIO Abel,Spain,M,Handball,0,0,1,1
SORRIBES TORMO Sara,Spain,F,Tennis,0,0,1,1
TARRAFETA Ian,Spain,M,Handball,0,0,1,1
TIO CASAS Iris,Spain,F,Artistic Swimming,0,0,1,1
TOLEDANO LAUT Blanca,Spain,F,Artistic Swimming,0,0,1,1
ABOUDOU MOINDZE Djamili-Dini,France,M,Boxing,0,0,1,1
APITHY Bolade,France,M,Fencing,0,0,1,1
BARBELIN Lisa,France,F,Archery,0,0,1,1
BERGERE Leo,France,M,Triathlon,0,0,1,1
CHASTANET Maximilien,France,M,Fencing,0,0,1,1
DEFAY Johanne,France,F,Surfing,0,0,1,1
DELESTRE Simon,France,M,Equestrian,0,0,1,1
EPAILLARD Julien,France,M,Equestrian,0,0,1,1
FENTE--DAMERS Rafael,France,M,Swimming,0,0,1,1
GAUZY Simon,France,M,Table Tennis,0,0,1,1
GROUSSET Maxime,France,M,Swimming,0,0,1,1
JEANJEAN Anthony,France,M,Cycling BMX Freestyle,0,0,1,1
LAPORTE Christophe,France,M,Cycling Road,0,0,1,1
LEBRUN Alexis,France,M,Table Tennis,0,0,1,1
LEFORT Enzo,France,M,Fencing,0,0,1,1
MAHIEU Romain,France,M,Cycling BMX Racing,0,0,1,1
MERTINE Julien,France,M,Fencing,0,0,1,1
NDOYE-BROUARD Yohann,France,M,Swimming,0,0,1,1
PATRICE Jean-Philippe,France,M,Fencing,0,0,1,1
PATRICE Sebastien,France,M,Fencing,0,0,1,1
PAUTY Maxime,France,M,Fencing,0,0,1,1
PERREAU Olivier,France,M,Equestrian,0,0,1,1
PIANFETTI Maxime,France,M,Fencing,0,0,1,1
PICON Charline,France,F,Sailing,0,0,1,1
RAVET Cyrian,France,M,Taekwondo,0,0,1,1
SECCHI Clement,France,M,Swimming,0,0,1,1
STEYAERT Sarah,France,F,Sailing,0,0,1,1
ALDRIDGE Matt,Great Britain,M,Rowing,0,0,1,1
AMBLER David,Great Britain,M,Rowing,0,0,1,1
AZU Jeremiah,Great Britain,M,Athletics,0,0,1,1
BELL Georgia,Great Britain,F,Athletics,0,0,1,1
BROWN Sky,Great Britain,F,Skateboarding,0,0,1,1
CAMPBELL Emily,Great Britain,F,Weightlifting,0,0,1,1
CAMPBELL-ORDE Annie,Great Britain,F,Rowing,0,0,1,1
DAVEY Lewis,Great Britain,M,Athletics,0,0,1,1
DAVIDSON Freddie,Great Britain,M,Rowing,0,0,1,1
DICKINSON Samuel,Great Britain,M,Triathlon,0,0,1,1
DOBSON Charles,Great Britain,M,Athletics,0,0,1,1
DUNFORD Holly,Great Britain,F,Rowing,0,0,1,1
FIELDMAN Henry,Great Britain,M,Rowing,0,0,1,1
FORD Emily,Great Britain,F,Rowing,0,0,1,1
HARDING Anthony,Great Britain,M,Diving,0,0,1,1
HARPER Yasmin,Great Britain,F,Diving,0,0,1,1
HARRIES Toby,Great Britain,M,Athletics,0,0,1,1
HEPWORTH Harry,Great Britain,M,Artistic Gymnastics,0,0,1,1
HESTER Carl,Great Britain,M,Equestrian,0,0,1,1
HINCHLIFFE Louie,Great Britain,M,Athletics,0,0,1,1
HODGKINS BYRNE Mathilda,Great Britain,F,Rowing,0,0,1,1
HUGHES Zharnel,Great Britain,M,Athletics,0,0,1,1
IRWIN Lauren,Great Britain,F,Rowing,0,0,1,1
JARMAN Jake,Great Britain,M,Artistic Gymnastics,0,0,1,1
JOHN Yemi Mary,Great Britain,F,Athletics,0,0,1,1
KELLY Hannah,Great Britain,F,Athletics,0,0,1,1
KILTY Richard,Great Britain,M,Athletics,0,0,1,1
KNIGHT Josie,Great Britain,F,Cycling Track,0,0,1,1
LAUGHER Jack,Great Britain,M,Diving,0,0,1,1
LONG Heidi,Great Britain,F,Rowing,0,0,1,1
McKELLAR Rowan,Great Britain,F,Rowing,0,0,1,1
MEW JENSEN Scarlett,Great Britain,F,Diving,0,0,1,1
MITCHELL-BLAKE Nethaneel,Great Britain,M,Athletics,0,0,1,1
MOODY Becky,Great Britain,F,Equestrian,0,0,1,1
MORRIS Anna,Great Britain,F,Cycling Track,0,0,1,1
NIELSEN Lina,Great Britain,F,Athletics,0,0,1,1
OHURUOGU Victoria,Great Britain,F,Athletics,0,0,1,1
RICHARDSON Lewis,Great Britain,M,Boxing,0,0,1,1
ROBERTS Jessica,Great Britain,F,Cycling Track,0,0,1,1
SPENDOLINI SIRIEIX Andrea,Great Britain,F,Diving,0,0,1,1
STEWART Eve,Great Britain,F,Rowing,0,0,1,1
TAYLOR Harriet,Great Britain,F,Rowing,0,0,1,1
TAYLOR-BROWN Georgia,Great Britain,F,Triathlon,0,0,1,1
TOULSON Lois,Great Britain,F,Diving,0,0,1,1
WILDE Rebecca,Great Britain,F,Rowing,0,0,1,1
WILKES Oliver,Great Britain,M,Rowing,0,0,1,1
WILLIAMS Jodie,Great Britain,F,Athletics,0,0,1,1
WILSON Emma,Great Britain,F,Sailing,0,0,1,1
GURULI Lasha,Georgia,M,Boxing,0,0,1,1
ANYOMI Nicole,Germany,F,Football,0,0,1,1
BERGER Ann-Katrin,Germany,F,Football,0,0,1,1
BRAND Jule,Germany,F,Football,0,0,1,1
BUEHL Klara,Germany,F,Football,0,0,1,1
BURGHARDT Alexandra,Germany,F,Athletics,0,0,1,1
DOORSOUN Sara,Germany,F,Football,0,0,1,1
ENDEMANN Vivien,Germany,F,Football,0,0,1,1
FREIGANG Laura,Germany,F,Football,0,0,1,1
FROHMS Merle,Germany,F,Football,0,0,1,1
GOSE Isabel,Germany,F,Swimming,0,0,1,1
GRABOSCH Pauline,Germany,F,Cycling Track,0,0,1,1
GREITEN Pia,Germany,F,Rowing,0,0,1,1
GWINN Giulia,Germany,F,Football,0,0,1,1
HAASE Rebekka,Germany,F,Athletics,0,0,1,1
HEGERING Marina,Germany,F,Football,0,0,1,1
HEGGE Noah,Germany,M,Canoe Slalom,0,0,1,1
HENDRICH Kathrin,Germany,F,Football,0,0,1,1
HINZE Emma,Germany,F,Cycling Track,0,0,1,1
JUNK Sophia,Germany,F,Athletics,0,0,1,1
LINDER Sarai,Germany,F,Football,0,0,1,1
LOHMANN Sydney,Germany,F,Football,0,0,1,1
LUECKENKEMPER Gina,Germany,F,Athletics,0,0,1,1
MAYER Lisa,Germany,F,Athletics,0,0,1,1
MENZEL Leonie,Germany,F,Rowing,0,0,1,1
MINGE Janina,Germany,F,Football,0,0,1,1
NUESKEN Sjoeke,Germany,F,Football,0,0,1,1
POPP Alexandra,Germany,F,Football,0,0,1,1
RAUCH Felicitas,Germany,F,Football,0,0,1,1
SCHENDEKEHL Tabea,Germany,F,Rowing,0,0,1,1
SCHUELLER Lea,Germany,F,Football,0,0,1,1
SCHULZE SOLANO Bibiane,Germany,F,Football,0,0,1,1
SENSS Elisa,Germany,F,Football,0,0,1,1
TIAFACK Nelvie Raman,Germany,M,Boxing,0,0,1,1
VOELZ Maren,Germany,F,Rowing,0,0,1,1
FITSIOU Zoi,Greece,F,Rowing,0,0,1,1
GKAIDATZIS Petros,Greece,M,Rowing,0,0,1,1
KARALIS Emmanouil,Greece,M,Athletics,0,0,1,1
KONTOU Dimitra,Greece,F,Rowing,0,0,1,1
KURUGLIEV Dauren,Greece,M,Wrestling,0,0,1,1
PAPAKONSTANTINOU Antonios,Greece,M,Rowing,0,0,1,1
PETROUNIAS Eleftherios,Greece,M,Artistic Gymnastics,0,0,1,1
